Province,City,Postal Code,lat,lon
Araba,Gaubea,'01426',42.849660799999995,-3.0673212877240426
Araba,Gaubea,'01427',42.87685445,-3.194765207252162
Araba,Gaubea,'01428',42.82808135,-2.8921848901293936
Araba,Valle de Arana,'01117',42.7654702,-2.3142205893490764
Araba,Eskuernaga,'01307',42.54688835,-2.667858641819835
Araba,Legutio,'01170',42.98304135,-2.6416340270348835
Araba,Legutio,'01171',42.9798744,-2.64255929
Araba,Legutio,'01510',42.9268915,-2.658640059819814
Araba,Gasteiz,'01001',42.8498122,-2.673039455960025
Araba,Gasteiz,'01002',42.8498607,-2.6655138112676067
Araba,Gasteiz,'01003',42.84608135,-2.6488488499672322
Araba,Gasteiz,'01004',42.85058789,-2.67275685
Araba,Gasteiz,'01005',42.84360075,-2.672792031485828
